step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
103,-0.132779,1.94009e-05,-8.76304e-05,2.28244,-0.00248957,0.0153691,5.5783,5.65083,1,0.994483,-0.00150301
104,-0.135342,1.94481e-05,-9.61535e-05,2.33931,-0.00266858,0.0153374,5.6508,5.72328,1,0.994752,-0.00204832
105,-0.137907,1.93747e-05,-0.000105405,2.3969,-0.00285786,0.0153053,5.72325,5.79567,1,0.995008,-0.00158864
106,-0.140474,1.92796e-05,-0.000115381,2.45522,-0.00305786,0.0152729,5.79563,5.86799,1,0.995252,-0.00212431
107,-0.143042,1.90598e-05,-0.000126177,2.51426,-0.00326901,0.0152402,5.86796,5.94025,1,0.995483,-0.00151356
108,-0.14561,1.8797e-05,-0.000137786,2.57402,-0.00349176,0.0152071,5.94021,6.01244,1,0.995704,-0.00206666
109,-0.148179,1.8377e-05,-0.000150325,2.63451,-0.00372658,0.0151737,6.0124,6.08456,1,0.995913,-0.00157098
110,-0.150746,1.79049e-05,-0.000163789,2.69571,-0.00397394,0.01514,6.08451,6.1566,1,0.996113,-0.00214741
111,-0.153312,1.7263e-05,-0.000178295,2.75764,-0.00423431,0.0151059,6.15656,6.22858,1,0.996302,-0.00148945
112,-0.155875,1.65468e-05,-0.000193832,2.82028,-0.00450821,0.0150715,6.22853,6.30048,1,0.996482,-0.00202405
113,-0.158435,1.56206e-05,-0.000210537,2.88365,-0.00479612,0.0150369,6.30042,6.3723,1,0.996654,-0.00161493
114,-0.160992,1.46028e-05,-0.000228412,2.94773,-0.00509856,0.0150019,6.37223,6.44404,1,0.996817,-0.00209404
115,-0.163544,1.33711e-05,-0.00024758,3.01252,-0.00541605,0.0149667,6.44397,6.5157,1,0.996972,-0.00154974
116,-0.166092,1.20078e-05,-0.000268046,3.07804,-0.00574912,0.0149312,6.51562,6.58727,1,0.99712,-0.00212936
117,-0.168634,1.03869e-05,-0.000289957,3.14427,-0.00609832,0.0148954,6.58719,6.65877,1,0.997261,-0.00151321
118,-0.17117,8.62108e-06,-0.000313305,3.21121,-0.00646421,0.0148593,6.65868,6.73017,1,0.997394,-0.00206462
119,-0.1737,6.55519e-06,-0.000338253,3.27887,-0.00684732,0.014823,6.73008,6.80149,1,0.997521,-0.0015802
120,-0.176222,4.31513e-06,-0.000364803,3.34724,-0.00724826,0.0147864,6.80139,6.87272,1,0.997642,-0.00214533
121,-0.178736,1.75143e-06,-0.000393113,3.41632,-0.00766758,0.0147496,6.87261,6.94386,1,0.997757,-0.00150207
122,-0.181243,-1.0264e-06,-0.00042318,3.48611,-0.00810588,0.0147125,6.94375,7.01491,1,0.997867,-0.00204311
123,-0.18374,-4.18721e-06,-0.000455186,3.55662,-0.00856376,0.0146752,7.01479,7.08587,1,0.997971,-0.00160918
124,-0.186228,-7.59309e-06,-0.000489139,3.62783,-0.00904183,0.0146377,7.08574,7.15674,1,0.99807,-0.00211828
125,-0.188707,-1.14024e-05,-0.000525209,3.69975,-0.00954069,0.0146,7.15659,7.22751,1,0.998164,-0.00154127
126,-0.191175,-1.5513e-05,-0.000563402,3.77237,-0.010061,0.014562,7.22735,7.29818,1,0.998253,-0.00210885
127,-0.193633,-2.00928e-05,-0.000603915,3.84571,-0.0106033,0.0145239,7.29801,7.36876,1,0.998338,-0.00155528
128,-0.196079,-2.50052e-05,-0.00064675,3.91974,-0.0111684,0.0144856,7.36858,7.43924,1,0.998419,-0.00213248
129,-0.198514,-3.04373e-05,-0.000692111,3.99449,-0.0117568,0.0144471,7.43905,7.50962,1,0.998497,-0.00153801
130,-0.200937,-3.62518e-05,-0.000739996,4.06993,-0.0123693,0.0144084,7.50941,7.5799,1,0.99857,-0.00209936
131,-0.203348,-4.26486e-05,-0.000790624,4.14608,-0.0130064,0.0143696,7.57968,7.65007,1,0.99864,-0.00158045
132,-0.205746,-4.94802e-05,-0.000844,4.22293,-0.0136688,0.0143306,7.64985,7.72015,1,0.998706,-0.00217206
133,-0.208131,-5.6945e-05,-0.000900343,4.30047,-0.0143573,0.0142914,7.71991,7.79013,1,0.998769,-0.00151737
134,-0.210502,-6.49038e-05,-0.000959646,4.37872,-0.0150726,0.0142521,7.78987,7.86,1,0.998829,-0.00205561
135,-0.21286,-7.35806e-05,-0.00102215,4.45767,-0.0158152,0.0142127,7.85972,7.92976,1,0.998886,-0.00164854
